20:58:02 | INFO | Regime switch: unknown → bull (held 1 bars)
20:58:02 | INFO | Regime: bull | confidence=0.75 | tradeable=True | bull=3 bear=0 VIX=10.7
20:58:02 | INFO | Phase 0: 2.8s
20:58:02 | ERROR | HTTP Error 401: {"finance":{"result":null,"error":{"code":"Unauthorized","description":"Invalid Crumb"}}}
20:58:02 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: IWM"}}}
20:58:02 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: DIA"}}}
20:58:02 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: SPY"}}}
20:58:02 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: QQQ"}}}
20:58:03 | INFO | Fetched 500 rows for AAPL
20:58:03 | INFO | Fetched 500 rows for MSFT
20:58:03 | INFO | Fetched 500 rows for GOOGL
20:58:04 | INFO | Fetched 500 rows for AMZN
20:58:04 | INFO | Fetched 500 rows for NVDA
20:58:04 | INFO | Fetched 500 rows for META
20:58:04 | INFO | Fetched 500 rows for TSLA
20:58:04 | INFO | Fetched 500 rows for AMD
20:58:05 | INFO | Fetched 500 rows for NFLX
20:58:05 | INFO | Fetched 500 rows for SPY
20:58:05 | INFO | Fetched 500 rows for QQQ
20:58:05 | INFO | Fetched 500 rows for IWM
20:58:06 | INFO | Fetched 500 rows for DIA
20:58:06 | INFO | Fetched 500 rows for JPM
20:58:06 | INFO | Fetched 500 rows for V
20:58:06 | INFO | Fetched 500 rows for GS
20:58:06 | INFO | Fetched 500 rows for BAC
20:58:07 | INFO | Fetched 500 rows for MS
20:58:07 | INFO | Fetched 500 rows for JNJ
20:58:07 | INFO | Fetched 500 rows for PFE
20:58:07 | INFO | Fetched 500 rows for UNH
20:58:08 | INFO | Fetched 500 rows for ABBV
20:58:08 | INFO | Fetched 500 rows for LLY
20:58:08 | INFO | Fetched 500 rows for MRK
20:58:09 | INFO | Fetched 500 rows for WMT
20:58:09 | INFO | Fetched 500 rows for COST
20:58:09 | INFO | Fetched 500 rows for HD
20:58:09 | INFO | Fetched 500 rows for MCD
20:58:09 | INFO | Fetched 500 rows for XOM
20:58:10 | INFO | Fetched 500 rows for CVX
20:58:10 | INFO | Fetched 500 rows for OXY
20:58:10 | INFO | Fetched 500 rows for SOFI
20:58:10 | INFO | Fetched 500 rows for PLTR
20:58:11 | INFO | Fetched 500 rows for RIVN
20:58:11 | INFO | Fetched 500 rows for HOOD
20:58:11 | INFO | Fetched 500 rows for MARA
20:58:11 | INFO | Fetched 500 rows for CRM
20:58:11 | INFO | Fetched 500 rows for SNOW
20:58:11 | INFO | Fetched 500 rows for NET
20:58:12 | INFO | Fetched 500 rows for DDOG
20:58:12 | INFO | Fetched 500 rows for CRWD
20:58:13 | INFO | Generated 74 features
20:58:13 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:14 | INFO | Regime detection complete
20:58:14 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:15 | INFO | Generated 74 features
20:58:15 | INFO | Regime detection complete
20:58:16 | INFO | Generated 74 features
20:58:16 | INFO | Regime detection complete
20:58:16 | INFO | Generated 74 features
20:58:16 | INFO | Regime detection complete
